Classifier,Weighted,Epochs,EmbeddingSize,HiddenSize,NumLayers,KernelSize,Dropout,BatchSize,LearningRate,Accuracy,F1,NegF1,PosF1
CNN,True,30,128,[32|32],N/A,[1|3|5],0.1,100,0.001,0.581170089112747,0.5516896633490125,0.31766612641815234,0.47978436657681933
CNN,True,30,32,[32|32],N/A,3,0.0,100,0.001,0.5815575358388222,0.5408324799383214,0.20718816067653273,0.5016202203499676
CNN,True,30,128,[128|128],N/A,3,0.0,100,0.001,0.5955056179775281,0.5777100131449523,0.2553191489361702,0.609284332688588
CNN,True,30,128,64,N/A,[1|3|5],0.1,100,0.001,0.5900813638124758,0.59581749220199,0.4045197740112994,0.6177957532861477
CNN,True,30,32,64,N/A,3,0.0,100,0.001,0.512979465323518,0.530069524424004,0.3630816170861938,0.5049180327868852
CNN,True,30,128,[128|128],N/A,1,0.1,100,0.001,0.5447500968616815,0.5513581073181353,0.4121739130434783,0.6364075325929504
CNN,True,30,64,[32|32],N/A,1,0.1,100,0.001,0.48818287485470746,0.5082802060005295,0.3633934535738143,0.589247311827957
CNN,True,30,64,[64|64],N/A,1,0.1,100,0.001,0.4618364974815963,0.48009482184490687,0.35420619860847563,0.5678474114441416
CNN,True,30,32,32,N/A,[1|3],0.0,100,0.001,0.529252227818675,0.5391684087567834,0.3855421686746988,0.6158386620757501
CNN,True,30,32,128,N/A,3,0.0,100,0.001,0.5664471135218907,0.5697258357863776,0.3648351648351648,0.5552274069698759
CNN,True,30,128,128,N/A,[1|3|5],0.1,100,0.001,0.6179775280898876,0.6146631541616872,0.41151079136690644,0.6274309109518935
CNN,True,30,128,32,N/A,3,0.1,100,0.001,0.5679969004261914,0.5824259399637686,0.4080560420315237,0.5891291642314436
CNN,True,30,64,[128|128],N/A,5,0.0,100,0.001,0.5397132894227044,0.5114775492433066,0.1630901287553648,0.601076095311299
CNN,True,30,128,64,N/A,5,0.1,100,0.001,0.5726462611390933,0.5767072797698962,0.38206627680311894,0.540962288686606
CNN,True,30,32,[128|128],N/A,1,0.0,100,0.001,0.5118171251452925,0.5195652091622112,0.3874690849134378,0.6006792819019893
CNN,True,30,64,128,N/A,[1|3|5],0.1,100,0.001,0.5823324292909725,0.5893104928304538,0.38901098901098896,0.6087408949011446
CNN,True,30,64,128,N/A,[1|3|5],0.0,100,0.001,0.48082138705927935,0.4316637703877184,0.24854368932038834,0.5837765957446809
CNN,True,30,32,[128|128],N/A,[1|3|5],0.0,100,0.001,0.5377760557923286,0.5429452648083348,0.35150166852057846,0.538837588267246
CNN,True,30,64,64,N/A,[1|3],0.0,100,0.001,0.5366137156141031,0.5410925120155685,0.3668430335097001,0.4820582261340555
CNN,True,30,32,64,N/A,[1|3],0.1,100,0.001,0.5207283998450213,0.4913370000787254,0.3795620437956204,0.6137184115523466
CNN,True,30,32,128,N/A,[1|3],0.1,100,0.001,0.6137156141030609,0.5929728407382815,0.28517110266159695,0.5970313358988456
CNN,True,30,64,128,N/A,[1|3],0.0,100,0.001,0.5404881828748547,0.5404429095646629,0.3858875413450937,0.6095406360424028
CNN,True,30,32,32,N/A,[1|3|5],0.1,100,0.001,0.6040294459511817,0.6001552577290884,0.38821954484605087,0.5917560700169395
CNN,True,30,64,64,N/A,[1|3|5],0.0,100,0.001,0.5877566834560248,0.5646996497591764,0.20718816067653273,0.625
CNN,True,30,64,64,N/A,[1|3|5],0.1,100,0.001,0.4552499031383185,0.44371422467228233,0.3794799718903725,0.5884561238854998
CNN,True,30,32,32,N/A,1,0.1,100,0.001,0.5629600929872143,0.577420026916977,0.3985637342908438,0.6062602965403624
CNN,True,30,128,128,N/A,5,0.1,100,0.001,0.578845408756296,0.5848617986552372,0.3908296943231441,0.6318289786223278
CNN,True,30,64,32,N/A,5,0.1,100,0.001,0.5040681906237893,0.48902236928554127,0.37294685990338167,0.6202061855670102
CNN,True,30,128,32,N/A,5,0.1,100,0.001,0.5993800852382798,0.5774882093664201,0.35968992248062015,0.5240289664252799
CNN,True,30,64,[64|64],N/A,5,0.0,100,0.001,0.5780705153041457,0.5756570881771508,0.38345864661654133,0.5575477154424523
CNN,True,30,32,[64|64],N/A,5,0.0,100,0.001,0.5617977528089888,0.51635052060583,0.1703056768558952,0.46692607003891046
CNN,True,30,32,[64|64],N/A,1,0.0,100,0.001,0.599767531964355,0.5791450842849852,0.29443447037701975,0.5638359329867129
CNN,True,30,32,[128|128],N/A,[1|3|5],0.1,100,0.001,0.5586981790003874,0.5576551603207885,0.37373737373737376,0.5093833780160857
CNN,True,30,64,[128|128],N/A,[1|3|5],0.0,100,0.001,0.5908562572646261,0.5752831479962909,0.3213728549141966,0.5469678953626635
CNN,True,30,32,[64|64],N/A,[1|3],0.1,100,0.001,0.5819449825648974,0.5855580702584684,0.3849557522123893,0.5688073394495412
CNN,True,30,64,[64|64],N/A,[1|3],0.0,100,0.001,0.5218907400232468,0.543214434059601,0.34627831715210355,0.5806094182825484
CNN,True,30,64,[32|32],N/A,[1|3],0.0,100,0.001,0.5823324292909725,0.561389371420309,0.3673469387755103,0.49338624338624343
CNN,True,30,32,[32|32],N/A,[1|3],0.1,100,0.001,0.5679969004261914,0.5777705635375794,0.37059415911379656,0.5826681870011402
CNN,True,30,64,32,N/A,[1|3|5],0.1,100,0.001,0.6032545524990314,0.5893624480962134,0.29834254143646405,0.6283062645011601
CNN,True,30,64,32,N/A,[1|3|5],0.0,100,0.001,0.5265401007361488,0.5057463668423048,0.38551859099804303,0.37285607755406414
CNN,True,30,32,[32|32],N/A,1,0.0,100,0.001,0.581170089112747,0.5466550954350305,0.28517110266159695,0.49001331557922767
CNN,True,30,32,[32|32],N/A,5,0.0,100,0.001,0.46764819837272376,0.4924632963956142,0.3466135458167331,0.5252152521525215
CNN,True,30,64,[32|32],N/A,5,0.0,100,0.001,0.5745834947694692,0.5576393219641017,0.30841121495327106,0.5236938031591737
CNN,True,30,128,[128|128],N/A,5,0.0,100,0.001,0.5803951956605967,0.5789019906030503,0.36615811373092927,0.6109324758842444
CNN,True,30,64,64,N/A,5,0.0,100,0.001,0.5687717938783418,0.5197050258769711,0.26640926640926643,0.420216606498195
CNN,True,30,128,64,N/A,5,0.0,100,0.001,0.6191398682681132,0.6033203088915224,0.3082568807339449,0.6187788609543357
CNN,True,30,64,64,N/A,5,0.1,100,0.001,0.5881441301821,0.5938440498199249,0.3969465648854962,0.5975197294250283
CNN,True,30,32,128,N/A,[1|3|5],0.1,100,0.001,0.5896939170864006,0.5591783679688683,0.29525483304042177,0.5042791310072416
CNN,True,30,64,[64|64],N/A,[1|3|5],0.1,100,0.001,0.5071677644323905,0.5295864582378572,0.3586406362979031,0.5252918287937743
CNN,True,30,32,[128|128],N/A,[1|3],0.0,100,0.001,0.49709414955443626,0.5062126439477169,0.3597972972972973,0.5796545105566218
CNN,True,30,64,64,N/A,[1|3],0.1,100,0.001,0.5273149941882991,0.5152660210682367,0.3829787234042554,0.6102502979737783
CNN,True,30,64,128,N/A,[1|3],0.1,100,0.001,0.6013173188686556,0.5936387132968577,0.36065573770491804,0.631531933899062
CNN,True,30,32,32,N/A,[1|3],0.1,100,0.001,0.5741960480433941,0.5702150487653395,0.3537803138373752,0.6202029113365681
CNN,True,30,64,[32|32],N/A,[1|3|5],0.1,100,0.001,0.5296396745447501,0.5244610135671537,0.4047384007897335,0.6188841201716737
CNN,True,30,32,64,N/A,[1|3|5],0.1,100,0.001,0.5827198760170477,0.5900432957476209,0.3935483870967742,0.6053059014618299
CNN,True,30,32,32,N/A,1,0.0,100,0.001,0.6055792328554823,0.6005067957990636,0.3858024691358025,0.6282475200755786
CNN,True,30,64,128,N/A,5,0.1,100,0.001,0.44556373498643936,0.4769458700013244,0.3388288800454804,0.507501630789302
CNN,True,30,128,128,N/A,5,0.0,100,0.001,0.6203022084463387,0.6029996775937031,0.29695885509839,0.6091644204851752
CNN,True,30,64,128,N/A,5,0.0,100,0.001,0.5707090275087175,0.5600214112672506,0.30560271646859083,0.6134020618556701
CNN,True,30,64,[64|64],N/A,5,0.1,100,0.001,0.5974428516079039,0.5725881373428382,0.33003300330033003,0.5242463958060287
CNN,True,30,128,[64|64],N/A,5,0.0,100,0.001,0.6028671057729562,0.5831332974260582,0.2454728370221328,0.6223678053345812
CNN,True,30,32,128,N/A,1,0.0,100,0.001,0.5215032932971716,0.5348807112944856,0.38699186991869916,0.5960264900662251
CNN,True,30,64,[128|128],N/A,[1|3|5],0.1,100,0.001,0.55288647810926,0.5639141115434608,0.4074766355140187,0.5922131147540983
CNN,True,30,32,[32|32],N/A,[1|3|5],0.1,100,0.001,0.5509492444788842,0.5621314880829967,0.37560503388189737,0.6026852312282447
CNN,True,30,64,32,N/A,[1|3],0.1,100,0.001,0.55288647810926,0.5649749020840951,0.38608695652173913,0.5483460559796438
CNN,True,30,32,[64|64],N/A,[1|3],0.0,100,0.001,0.5827198760170477,0.5511508690594451,0.25831702544031315,0.5131086142322098
CNN,True,30,128,128,N/A,[1|3],0.1,100,0.001,0.6392870980240217,0.6239150520815989,0.3574007220216607,0.6309523809523809
CNN,True,30,128,64,N/A,[1|3],0.1,100,0.001,0.5284773343665246,0.5049569497515889,0.33739130434782605,0.6025500910746813
CNN,True,30,32,[32|32],N/A,[1|3],0.0,100,0.001,0.5757458349476947,0.5694907765572019,0.2852807283763278,0.6059425231368729
CNN,True,30,64,[128|128],N/A,[1|3],0.0,100,0.001,0.4959318093762108,0.5240715963481963,0.35158891142663967,0.5453423812461443
CNN,True,30,32,[64|64],N/A,[1|3|5],0.1,100,0.001,0.538938395970554,0.551041121337047,0.36676217765042973,0.5726634251755808
CNN,True,30,128,32,N/A,[1|3|5],0.0,100,0.001,0.5625726462611391,0.5676291268808609,0.37514124293785306,0.6098265895953757
CNN,True,30,32,64,N/A,1,0.0,100,0.001,0.6028671057729562,0.5927705026635338,0.3408695652173913,0.6267832489645652
CNN,True,30,128,[32|32],N/A,5,0.0,100,0.001,0.5637349864393646,0.5667200249456913,0.37695078031212487,0.6040076335877863
CNN,True,30,64,[32|32],N/A,5,0.1,100,0.001,0.5970554048818287,0.5978984151611969,0.4180225281602002,0.5979819437068508
